OBJECTID,FD_ID,DEPT_NAME,STATION_NUMBER,STATION_ADDRESS,CITY,STATE,COUNTY,ZIP_CODE,LATITUDE,LONGITUDE,x,y
31442,02310,Kings Mountain Fire Department,2,1207 Shelby Road,Kings Mountain,NC,Cleveland,28086,35.23910515,-81.36916437,-81.36916437,35.2391051500001
31443,05402,Kinston Department of Fire and Rescue,1,401 E. Vernon Ave.,Kinston,NC,Lenoir,28502,35.2684,-77.5752586,-77.5752586,35.2684
31444,05402,Kinston Department of Fire and Rescue,2,3428 Carey Road,Kinston,NC,Lenoir,28501,35.29838224,-77.61793474,-77.61793474,35.29838224
31445,05402,Kinston Department of Fire and Rescue,3,1247 Hill Farm Road,Kinston,NC,Lenoir,28501,35.26557748,-77.6482545,-77.6482545,35.26557748
31446,09105,"Kittrell Volunteer Fire Department, Incorporated",1,54 West Main St,Kittrell,NC,Vance,27544,36.22269258,-78.44145324,-78.44145324,36.2226925800001
31447,02805,Kitty Hawk Fire Department,1,859 W. Kitty Hawk Rd.,Kitty Hawk,NC,Dare,27949,36.06483982,-75.71009848,-75.7100984799999,36.06483982
31448,02414,"Klondyke-Chadbourn Volunteer Fire & Rescue, Inc.",1,204 North Wilson Street,Chadbourn,NC,Columbus,28431,34.32440822,-78.82477329,-78.8247732899999,34.3244082200001
31449,09230,Knightdale Fire Department,1,7477 Forestville Rd,Knightdale,NC,Wake,27545,35.805606,-78.473594,-78.4735939999999,35.8056060000001
31450,09230,Knightdale Fire Department,2,401 Hester St.,Knightdale,NC,Wake,27545,35.78925213,-78.47844787,-78.47844787,35.7892521300001
31451,09230,Knightdale Fire Department,3,4828 Clifton Rd.,Knightdale,NC,Wake,27545,35.75265647,-78.49592105,-78.4959210499999,35.75265647
31452,09230,Knightdale Fire Department,4,1325 Hodge Rd,Knightdale,NC,Wake,27545,35.78788,-78.523641,-78.5236409999999,35.78788
31453,09726,"Knotville Volunteer Fire Department, Inc.",1,2864 Elkin Hwy,North Wilkesboro,NC,Wilkes,28659,36.2008,-81.0907,-81.0907,36.2008000000001
31454,06503,"Kure Beach Volunteer Fire Department, Inc.",1,608 K Ave.,Kure Beach,NC,New Hanover,28449,33.999264,-77.910363,-77.910363,33.999264
31455,05434,La Grange Fire Department,1,119 East Railroad St,La Grange,NC,Lenoir,28551,35.30679493,-77.7869249,-77.7869249,35.30679493
31456,09315,"Lake Gaston Volunteer Fire Department, Inc.",1,7609 Highway 903,Bracey,VA,Warren,23919,36.5661508,-78.09026822,-78.09026822,36.5661508000001
